2020-01-18 16:44:14,"b'#Earnings releases the week January 20, 2020 are #Netflix, $NFLX, #FuelCellEnergy $FCEL, #Halliburton $HAL, #Intel\xe2\x80\xa6 https://t.co/511WxyAEm8'"
2020-01-18 16:38:12,b'RT @Applesauctin: United serves overpriced hotdogs as the only food option now? Was the cost of my ticket not enough? Shouldn\xe2\x80\x99t I be paid t\xe2\x80\xa6'
2020-01-18 16:15:36,b'@WSJ I flew 140 segments on #unitedAIRLINES United in 2019 and had zero problems. 2 mechanical delays/cancellations\xe2\x80\xa6 https://t.co/znwkJ8etgT'
2020-01-18 16:14:20,"b'#unitedAIRLINES @united Umm, why do we have a work order taped to our wing UA454 ORD to LAX? https://t.co/89JaDm9gVO'"
2020-01-18 15:49:30,b'... and my seat back screen never worked. what did I get for my economy plus upgrade that I pay for????? #nothing\xe2\x80\xa6 https://t.co/CWptfninea'
2020-01-18 15:02:32,b'What in my life is important enough for my first ever tweet?  Flew on #unitedAIRLINES yesterday from DC to Denver\xe2\x80\xa6 https://t.co/reqTucQcCD'
2020-01-18 14:55:27,b'Never again #unitedairlines'
2020-01-18 13:59:47,"b""I love how there's no concept of time in an airport. Like, what? It's 6 am and you want a red wine, some tacos, and\xe2\x80\xa6 https://t.co/NOCV0NbZhA"""
2020-01-18 13:14:15,"b""Reason to avoid #unitedAIRLINES . An Hour delay due to #pilot didn't show up on time. https://t.co/h8xEbuOz1r"""
2020-01-18 13:08:21,b'@united about to fly out. I paid extra for seats so my family can be together. Guess who is not sitting together??\xe2\x80\xa6 https://t.co/Mnq9m2LtUb'
2020-01-18 12:32:17,b'United Airlines is one of the major airlines of USA which headquarters based  in  Chicago. So Book your online tick\xe2\x80\xa6 https://t.co/fJT9NsYHWA'
2020-01-18 10:48:25,b'@tripchi Can #UnitedAirlines Surge Another 582%?\nhttps://t.co/Ek0GcxGMBj https://t.co/HZJLwpLazX'
2020-01-18 10:27:54,b'\xe2\x80\x98SPEEDBIRD\xe2\x80\x99 is the call sign of which Airlines?\na)United Airlines\nb)British Airways\nc)Singapore Airlines\nd)Japan Ai\xe2\x80\xa6 https://t.co/5M56juUpc3'
2020-01-18 09:36:39,b'7 Best Tweets about the #UnitedAirlines Scandal https://t.co/pazgANi4pe'
2020-01-18 07:23:58,"b""RT @JaspreetTravels: Spotted a familiar face in the Chicago Tribune this morning! \n\nReally grateful for all of the amazing people I've met\xe2\x80\xa6"""
2020-01-18 07:08:48,b'@united #united #unitedairlines so there are seats available out of my \xe2\x80\x9cclass\xe2\x80\x9d so you are making me stay two nights\xe2\x80\xa6 https://t.co/Q7dX9SO0OZ'
