,Rank,Place,Location
0,10, The Shawangunks, New York
1,9, Eldorado Canyon, Colorado
2,8, Smith Rock, Oregon
3,7, Wild Iris, Wyoming
4,6, Joshua Tree, California
5,5, The Needles, California
6,4, Red River Gorge, Kentucky
7,3, New River Gorge, West Virginia
8,2, Indian Creek, Utah
9,1, Index, Washington State
